"country","yearAC","totalAC","yearAP","rateper1000AP","yearCL","infoCL","totalCL"
"Tuvalu","2016",7.9,"2016",26.6,NA,NA,NA
"Uganda","2016",23.6,"2015",131.5,"2017","5 to 17 years old",18.1
"Ukraine","2016",45.2,"2017",19.1,"2012","5 to 14 years old",3.2
"United Arab Emirates","2016",7.9,"2017",5.4,NA,NA,NA
"United Kingdom of Great Britain and Northern Ireland","2016",62.3,"2017",12.4,NA,NA,NA
"United Republic of Tanzania","2016",23.6,"2016",138.9,"2014","5 to 17 years old",24.8
"United States of America","2016",59.9,"2017",18.8,NA,NA,NA
"Uruguay","2016",57.1,"2018",35.8,"2010","5 to 17 years old",4.2
"Uzbekistan","2016",11.8,"2017",18.9,NA,NA,NA
"Vanuatu","2016",7.4,"2013",51.2,"2013","5 to 14 years old",15.6
"Venezuela (Bolivarian Republic of)","2016",24.7,"2012",94.5,NA,NA,NA
"Viet Nam","2016",23.4,"2014",30.1,"2014","5 to 17 years old",13.1
"Yemen","2016",0.3,"2012",67.2,NA,NA,NA
"Zambia","2016",16.5,"2017",135,"2012","5 to 17 years old",23
"Zimbabwe","2016",9.8,"2017",77.6,"2019","5 to 17 years old",27.9
